cups	∪︀	\cup
ell	ℓ	\ell
cacute	ć	\cacute
NJcy	Њ	\cyrillicNJE
nacute	ń	\nacute
LJcy	Љ	\cyrillicLJE
KJcy	Ќ	\cyrillicKJE
iacute	í	\iacute
NotLeftTriangleBar	⧏̸	\not_defined
GJcy	Ѓ	\cyrillicGJE
rarrb	⇥	\rightarrowbar
omid	⦶	\not_defined
SucceedsEqual	⪰	\succeq
DifferentialD	ⅆ	\differentiald
racute	ŕ	\racute
GreaterEqualLess	⋛	\gtreqless
lharu	↼	\leftharpoonup
ApplyFunction	⁡	\relax
LessSlantEqual	⩽	\leqslant
smid	∣	\divides
mid	∣	\divides
topcir	⫱	\not_defined
trianglerighteq	⊵	\not_defined
tbrk	⎴	\not_defined
nu	ν	\greeknu
mu	μ	\greekmu
xutri	△	\triangle
DJcy	Ђ	\cyrillicDJE
delta	δ	\greekdelta
YIcy	Ї	\cyrillicYI
vprop	∝	\propto
lneq	⪇	\lneq
prap	⪷	\precapprox
twoheadleftarrow	↞	\twoheadleftarrow
backsim	∽	\backsim
it	⁢	\not_defined
comp	∁	\complement
frac35	⅗	\threefifths
angmsdah	⦯	\not_defined
RightTriangle	⊳	\not_defined
ncongdot	⩭̸	\not_defined
DoubleLeftRightArrow	⇔	\Leftrightarrow
Mu	Μ	\greekMu
osol	⊘	\oslash
diams	♦	\blacklozenge
dsol	⧶	\not_defined
geqslant	⩾	\geqslant
bsol	\	\textbackslash
Delta	Δ	\greekDelta
angmsdaf	⦭	\not_defined
rtri	▹	\not_defined
Longleftarrow	⟸	\Longleftarrow
forall	∀	\forall
ltri	◃	\not_defined
leqslant	⩽	\leqslant
frac78	⅞	\seveneighths
frac58	⅝	\fiveeighths
prod	∏	\prod
DownLeftVectorBar	⥖	\not_defined
Alpha	Α	\greekAlpha
sstarf	⋆	\star
angrtvb	⊾	\not_defined
CircleDot	⊙	\odot
RightUpTeeVector	⥜	\not_defined
simdot	⩪	\not_defined
CupCap	≍	\asymp
ReverseElement	∋	\ni
NotSquareSuperset	⊐̸	\sqsupset
boxhu	┴	\not_defined
asymp	≈	\approx
ldsh	↲	\Ldsh
gtreqless	⋛	\gtreqless
alpha	α	\greekalpha
bump	≎	\Bumpeq
realpart	ℜ	\Re
natural	♮	\natural
ordf	ª	\ordfeminine
ast	*	\ast
bNot	⫭	\not_defined
harrcir	⥈	\not_defined
boxUl	╜	\not_defined
copysr	℗	\textcircledP
tosa	⤩	\not_defined
nrarrc	⤳̸	\not_defined
circledR	®	\registered
subset	⊂	\subset
rarrhk	↪	\hookrightarrow
TSHcy	Ћ	\cyrillicTSHE
larrhk	↩	\hookleftarrow
frac34	¾	\threequarter
boxhd	┬	\not_defined
straightphi	ϕ	\greekphialt
nesear	⤨	\not_defined
Dashv	⫤	\not_defined
rnmid	⫮	\not_defined
notnivb	⋾	\not_defined
Poincareplane	ℌ	\not_defined
eDot	≑	\doteqdot
Verbar	‖	\Vert
rhard	⇁	\rightharpoondown
